Código da Cozinha,Nome da Cozinha,Endereço da Cozinha,Bairro da Cozinha,CEP,Município da Cozinha,Código IBGE,UF,Email,CNPJ,A cozinha está em funcionamento atualmente?,Em quantos dias da semana a Cozinha Solidária funciona?,Situação,Público Atendido,Público Total Atendido,Quantidade refeições produzidas por dia de trabalho,Latitude,Longitude
CS016282,AÇÃO CRISTÃ ESPÍRITA JESUS DE NAZARÉ,"Rua Itamogi, 14",Sepetiba,23545-120,RIO DE JANEIRO,3304557,RJ,munikaragaoadv@gmail.com,09.398.631/0001-85,"Sim, está funcionando normalmente",3 vezes por semana,Habilitada,"Mulheres, Jovens, Crianças, Idosos, População LGBTQIA+, Trabalhadores informais diversos (Motoristas de aplicativos, motoboys, serventes ou outros), Pessoas em situação de rua, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Pessoas e famílias atingidas por situações de emergência ou calamidade pública, Imigrantes, Outros grupos de pessoas em situação de vulnerabilidade social",348,225,-6.044882,-42.564942
CS014987,ACATSISAL,"RUA 2 DE JULHO, 37",Centro,48700-000,SERRINHA,2930501,BA,acatbacat@gmail.com,03.376.965/0001-71,"Sim, está funcionando normalmente",3 vezes por semana,Habilitada,"Mulheres, Jovens, Crianças, Idosos, População LGBTQIA+, Agricultores Familiares e Campesinos, Trabalhadores informais diversos (Motoristas de aplicativos, motoboys, serventes ou outros), Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Povos e comunidades tradicionais (indígenas, quilombolas, ribeirinhos, etc.), Outros grupos de pessoas em situação de vulnerabilidade social",120,50,-1.938105,-60.289734
CS016249,AGROVILA SÃO LUIZ,"Fazenda São Luiz, 1",Zona Rural,57700-000,VIÇOSA,2709400,AL,agrovilasl@gmail.com,32.875.546/0001-82,"Sim, está funcionando normalmente",5 vezes por semana,Habilitada,"Mulheres, Jovens, Crianças, Idosos, População LGBTQIA+, Agricultores Familiares e Campesinos, Pessoas em situação de rua, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Pessoas e famílias atingidas por situações de emergência ou calamidade pública, Grupo específico vinculado a determinada localidade, atividade, serviço ou movimento, Outros grupos de pessoas em situação de vulnerabilidade social",475,150,0.805878,-50.970459
CS015205,AIRE - ACOLHIMENTO E INTEGRAÇÃO AO REFUGIADO,"Rua Washington Luis, 368",Parque Sete de Setembro,09919-190,DIADEMA,3513801,SP,tarsila.nomoto@aire.org.br,40.949.907/0001-16,"Sim, está funcionando normalmente",7 vezes por semana,Habilitada,"Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Pessoas e famílias atingidas por situações de emergência ou calamidade pública, Imigrantes, Outros grupos de pessoas em situação de vulnerabilidade social",80,70,-26.652255,-48.555096
CS016724,ASSOCIAÇÃO ALIMENTANDO COM AMOR,"rua santo antonio, 731",cidade alta,59025-520,NATAL,2408102,RN,alimentandocomamor731@gmail.com,51.753.476/0001-34,"Sim, está funcionando normalmente",7 vezes por semana,Habilitada,"Mulheres, Jovens, Crianças, Idosos, População LGBTQIA+, Pessoas em situação de rua, Pessoas e famílias atingidas por situações de emergência ou calamidade pública, Imigrantes, Outros grupos de pessoas em situação de vulnerabilidade social",154,250,-9.568012,-35.383046
CS016862,ASSOCIAÇAO BENEFICENTE ANA BEATRIZ,"RUA RUI BARBOSA, 453, 453",CENTRO,28300-000,ITAPERUNA,3302205,RJ,ABABITAPERUNA@GMAIL.COM,30.407.795/0001-18,"Sim, está funcionando normalmente",6 vezes por semana,Habilitada,"Mulheres, Jovens, Crianças, Idosos, População LGBTQIA+, Agricultores Familiares e Campesinos, Pessoas em situação de rua, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Pessoas e famílias atingidas por situações de emergência ou calamidade pública, Outros grupos de pessoas em situação de vulnerabilidade social",160,250,-3.671412,-59.407821
CS014755,ASSOCIAÇÃO DOS AGRICULTORES E AGRICULTORAS DO MUNICÍPIO DE MINADOR DO NEGRÃO,"Povoado Jiquiri, s/n",Zona rural,57615-000,MINADOR DO NEGRÃO,2705309,AL,associacaodosagricultores2013@gmail.com,18.802.943/0001-01,"Sim, está funcionando normalmente",6 vezes por semana,Habilitada,"Mulheres, Jovens, Crianças, Idosos, População LGBTQIA+, Agricultores Familiares e Campesinos, Pessoas em situação de rua, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Pessoas e famílias atingidas por situações de emergência ou calamidade pública, Outros grupos de pessoas em situação de vulnerabilidade social",632,3,-21.745984,-53.796878
CS016568,ASSOCIACAO DOS REMANESCENTES DO QUILOMBO DO DESERTO EM CAUCAIA,"povoado do Deserto n° 47, 47",DESERTO,61616-992,CAUCAIA,2303709,CE,quilombolasdeserto@yahoo.com.br,20.661.541/0001-78,"Sim, está funcionando normalmente",5 vezes por semana,Habilitada,"Mulheres, Jovens, Crianças, Idosos, Agricultores Familiares e Campesinos, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Povos e comunidades tradicionais (indígenas, quilombolas, ribeirinhos, etc.), Outros grupos de pessoas em situação de vulnerabilidade social",204,100,-2.532332,-59.336936
CS016244,ASSOCIAÇÃO FILANTRÓPICA CASA DE APOIO SOCIAL RNA,"Rua Goianapolis, 453",Alexandrina,75060-220,ANÁPOLIS,5201108,GO,ellysamaaireslo@gmail.com,04.566.353/0001-04,"Sim, está funcionando normalmente",5 vezes por semana,Habilitada,"Mulheres, Jovens, Crianças, Idosos, População LGBTQIA+, Trabalhadores informais diversos (Motoristas de aplicativos, motoboys, serventes ou outros), Pessoas em situação de rua, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Povos e comunidades tradicionais (indígenas, quilombolas, ribeirinhos, etc.), Pessoas e famílias atingidas por situações de emergência ou calamidade pública, Imigrantes, Grupo específico vinculado a determinada localidade, atividade, serviço ou movimento, Outros grupos de pessoas em situação de vulnerabilidade social",1700,6,1.024513,-50.612438
CS015014,ASSOCIAÇÃO ROSAS DE OURO,"Rua Vigário Jobim, 116",Divisa,97573-350,SANT'ANA DO LIVRAMENTO,4317103,RS,rosasdeourolvto@gmail.com,34.319.535/0001-41,Está funcionando com carga horária reduzida,Uma vez ao mês,Habilitada,"Mulheres, Jovens, Crianças, Idosos, População LGBTQIA+, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Povos e comunidades tradicionais (indígenas, quilombolas, ribeirinhos, etc.), Pessoas e famílias atingidas por situações de emergência ou calamidade pública, Outros grupos de pessoas em situação de vulnerabilidade social",120,100,-7.982167,-35.124269
CS014912,CAFÉ DAS MÃES,"Avenida Engenheiro Richard 25, 25",Grajaú,20561-092,RIO DE JANEIRO,3304557,RJ,direcao@grupoanjosdatiastellinha.org.br,27.481.838/0001-09,"Sim, está funcionando normalmente",5 vezes por semana,Habilitada,"Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Grupo específico vinculado a determinada localidade, atividade, serviço ou movimento, Outros grupos de pessoas em situação de vulnerabilidade social",900,250,-22.097933,-42.783987
CS016708,CARIDADE ROSA,"Rua Brasil, 35., 35",Santa Maria,49039-095,ARACAJU,2800308,SE,institutocaridaderosa@gmail.com,50.200.339/0001-00,"Sim, está funcionando normalmente",5 vezes por semana,Habilitada,"Mulheres, Crianças, Idosos, População LGBTQIA+, Pessoas em situação de rua, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Pessoas e famílias atingidas por situações de emergência ou calamidade pública, Outros grupos de pessoas em situação de vulnerabilidade social",480,250,-6.917449,-34.479489
CS014558,CASA DA TIA GRAZI,"Nossa senhora do Brasil número 54, 54",Morro santa Tereza,90850-510,PORTO ALEGRE,4314902,RS,grazielaconceicao41@gmail.com,54.683.964/0001-00,Está funcionando com carga horária reduzida,4 vezes por semana,Habilitada,"Mulheres, Jovens, Crianças, Idosos, População LGBTQIA+, Trabalhadores informais diversos (Motoristas de aplicativos, motoboys, serventes ou outros), Pessoas em situação de rua, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Pessoas e famílias atingidas por situações de emergência ou calamidade pública, Imigrantes, Outros grupos de pessoas em situação de vulnerabilidade social",210,415,-20.838648,-40.847521
CS015412,CASA DO PÃO,"Rua principal número, 103",Clima bom,57071-201,MACEIÓ,2704302,AL,institutobeneficentebelem@gmail.com,15.597.640/0001-06,"Sim, está funcionando normalmente",3 vezes por semana,Habilitada,"Mulheres, Jovens, Crianças, Idosos, População LGBTQIA+, Pessoas em situação de rua, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Pessoas e famílias atingidas por situações de emergência ou calamidade pública, Outros grupos de pessoas em situação de vulnerabilidade social",205,100,1.923443,-60.889579
CS016954,CENTRO DE APOIO AOS IRMAOS EM SITUAÇÃO DE RUA,"RUA IBIRAPUITÃ, 130",ROCHA MIRANDA,21510-200,RIO DE JANEIRO,3304557,RJ,caisir2020@gmail.com,46.567.824/0001-49,"Sim, está funcionando normalmente",1 vez por semana,Habilitada,"Mulheres, Jovens, Crianças, Idosos, Pessoas em situação de rua, Pessoas e famílias atingidas por situações de emergência ou calamidade pública, Outros grupos de pessoas em situação de vulnerabilidade social",1270,1400,-1.256935,-47.284872
CS015245,CENTRO DE INTEGRAÇÃO FAMILIAR,"Rua Direta de Tancredo Neves, 402",Tancredo Neves,41205-000,SALVADOR,2927408,BA,ceifarcp@gmail.com,03.598.003/0001-67,"Sim, está funcionando normalmente",5 vezes por semana,Habilitada,"Mulheres, Jovens, Crianças, Pessoas em situação de rua, Outros grupos de pessoas em situação de vulnerabilidade social",170,1340,-10.462691,-37.108539
CS016337,CIDADANIA,"Garbosa,, 772",Vila Tinguá,26385-150,QUEIMADOS,3304144,RJ,rosangelasouza929@gmail.com,,"Sim, está funcionando normalmente",2 vezes por semana,Habilitada,"Pessoas em situação de rua, Outros grupos de pessoas em situação de vulnerabilidade social",125,120,-24.644246,-47.856833
CS016905,COMUNIDADE BOM VIVER. (. BOM PRATO. ),"Rua João Manoel de Lima, 981",Jardim Paulista,14866-004,BARRINHA,3505609,SP,ilmagaia772@gmail.com,,"Sim, está funcionando normalmente",3 vezes por semana,Habilitada,"Mulheres, Jovens, Crianças, Idosos, População LGBTQIA+, Agricultores Familiares e Campesinos, Trabalhadores informais diversos (Motoristas de aplicativos, motoboys, serventes ou outros), Pessoas em situação de rua, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Povos e comunidades tradicionais (indígenas, quilombolas, ribeirinhos, etc.), Pessoas e famílias atingidas por situações de emergência ou calamidade pública, Imigrantes, Assentados da Reforma Agrária, Grupo específico vinculado a determinada localidade, atividade, serviço ou movimento, Outros grupos de pessoas em situação de vulnerabilidade social",166,250,-7.018124,-35.422328
CS017303,CORAÇÕES QUE ALIMENTAM,"Rua Eduardo Dotto,, 40",PARIPE,40800-010,SALVADOR,2927408,BA,coracoesquealimentam@outlook.com,45.611.594/0001-05,"Sim, está funcionando normalmente",5 vezes por semana,Habilitada,"Pessoas em situação de rua, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Povos e comunidades tradicionais (indígenas, quilombolas, ribeirinhos, etc.), Pessoas e famílias atingidas por situações de emergência ou calamidade pública, Imigrantes, Outros grupos de pessoas em situação de vulnerabilidade social",600,600,-14.686856,-56.336852
CS014534,COZINHA AFETIVA COMUNITARIA SUSTENTAVEL,"Rua Manoel Soares da Costa, 13",Engenho,23821-740,ITAGUAÍ,3302007,RJ,cozinhaafetivacomunitariasustentavel@outlook.com,45.377.889/0001-69,"Sim, está funcionando normalmente",2 vezes por semana,Habilitada,"Mulheres, Jovens, Crianças, Idosos, População LGBTQIA+, Trabalhadores informais diversos (Motoristas de aplicativos, motoboys, serventes ou outros), Pessoas em situação de rua, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Povos e comunidades tradicionais (indígenas, quilombolas, ribeirinhos, etc.), Pessoas e famílias atingidas por situações de emergência ou calamidade pública, Grupo específico vinculado a determinada localidade, atividade, serviço ou movimento, Outros grupos de pessoas em situação de vulnerabilidade social",1533,300,-13.476618,-38.051813
CS016759,COZINHA COM AFETO,"Visconde de Pelotas 116, 116",Centro,58010-670,JOÃO PESSOA,2507507,PB,albertofjacuma@gmail.com,16.812.887/0001-52,"Sim, está funcionando normalmente",1 vez por semana,Habilitada,"Mulheres, Pessoas em situação de rua, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Pessoas e famílias atingidas por situações de emergência ou calamidade pública, Outros grupos de pessoas em situação de vulnerabilidade social",540,200,-21.128193,-38.854741
CS016671,COZINHA COMUNITARIA DEUS É FIEL,"rua dos potiguares, 4063",cidade nova,59072-820,NATAL,2408102,RN,edilma.cirilo@gmail.com,35.696.167/0001-13,Está funcionando com carga horária reduzida,3 vezes por semana,Habilitada,"Mulheres, Jovens, Crianças, Idosos, População LGBTQIA+, Agricultores Familiares e Campesinos, Pessoas em situação de rua, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Pessoas e famílias atingidas por situações de emergência ou calamidade pública, Outros grupos de pessoas em situação de vulnerabilidade social",627,382,-17.781687,-49.653663
CS014876,COZINHA COMUNITÁRIA SÃO BENEDITO,"QUILOMBO OITEIRO DOS NOGUEIRAS, sn",ZONA RURAL,65485-000,ITAPECURU MIRIM,2105401,MA,ass.oiteiro.quilombo@gmail.com,12.553.244/0001-80,Está funcionando com carga horária reduzida,1 vez por semana,Habilitada,"Povos e comunidades tradicionais (indígenas, quilombolas, ribeirinhos, etc.), Assentados da Reforma Agrária, Outros grupos de pessoas em situação de vulnerabilidade social",71,100,-9.940459,-38.145809
CS016009,COZINHA COMUNTARIA SÃO MIGUEL - AEUSM,"Rua Medellín, 2914",Granja Lisboa,60540-000,FORTALEZA,2304400,CE,aeusm.ong@gmail.com,03.015.686/0001-82,"Sim, está funcionando normalmente",6 vezes por semana,Habilitada,"Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Outros grupos de pessoas em situação de vulnerabilidade social",175,100,-2.159069,-44.793496
CS015171,COZINHA DA AACOSSA,"Avenida Rui Barbosa, 188",Bonfim,44200-000,SANTO AMARO,2928604,BA,luisbarreto0022@gmail.com,,Está funcionando com carga horária reduzida,1 vez por semana,Habilitada,"Mulheres, Jovens, Crianças, Idosos, População LGBTQIA+, Trabalhadores informais diversos (Motoristas de aplicativos, motoboys, serventes ou outros), Pessoas em situação de rua, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Povos e comunidades tradicionais (indígenas, quilombolas, ribeirinhos, etc.), Pessoas e famílias atingidas por situações de emergência ou calamidade pública, Outros grupos de pessoas em situação de vulnerabilidade social",277,390,1.527495,-51.175117
CS014686,COZINHA DA CASA DOM HELDER CÂMARA,"Rua Visconde de Santa Isabel, 480, Cozinha da Casa Dom Helder Câmara",Grajaú,20650-121,RIO DE JANEIRO,3304557,RJ,contato@associacaoamar.org.br,04.090.760/0001-98,"Sim, está funcionando normalmente",5 vezes por semana,Habilitada,"Crianças, Outros grupos de pessoas em situação de vulnerabilidade social",120,20,-19.367777,-43.136535
CS014775,COZINHA DO ARROCHA,"Rua Doutor Olinto de Magalhães, 66",Vidigal,22450-250,RIO DE JANEIRO,3304557,RJ,Rafa.antunes9@gmail.com,31.275.343/0001-92,"Sim, está funcionando normalmente",2 vezes por semana,Habilitada,"Mulheres, Jovens, Crianças, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Grupo específico vinculado a determinada localidade, atividade, serviço ou movimento, Outros grupos de pessoas em situação de vulnerabilidade social",670,650,-4.234560,-39.399268
CS015938,COZINHA EXPERIMENTAL LIA ESPERANÇA,"Rua da Caixa d’Água, 61",Vila Nova Esperança,05570-775,SÃO PAULO,3550308,SP,institutoliaesperanca@gmail.com,33.338.994/0001-00,"Sim, está funcionando normalmente",5 vezes por semana,Habilitada,"Mulheres, Jovens, Crianças, Idosos, População LGBTQIA+, Trabalhadores informais diversos (Motoristas de aplicativos, motoboys, serventes ou outros), Pessoas em situação de rua, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Grupo específico vinculado a determinada localidade, atividade, serviço ou movimento, Outros grupos de pessoas em situação de vulnerabilidade social",590,200,-10.063650,-62.576609
CS016127,COZINHA FEHSOLNA,"shsn chacara 160c lote 01 av p1 trecho I sol nascente, ",Sol Nascente,72218-900,BRASÍLIA,5300108,DF,fehsolnadefe@gmail.com,03.635.287/0001-14,Está funcionando com carga horária reduzida,1 vez por semana,Habilitada,"Mulheres, Jovens, Crianças, Idosos, População LGBTQIA+, Trabalhadores informais diversos (Motoristas de aplicativos, motoboys, serventes ou outros), Pessoas em situação de rua, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Outros grupos de pessoas em situação de vulnerabilidade social",174,278,-21.407049,-44.988023
CS016992,COZINHA IRMÃ DULCE,"Rua Pergentino José Saippa, 4",Vila Nova,28630-210,NOVA FRIBURGO,3303401,RJ,caritasdiocesenf@gmail.com,30.553.481/0001-23,Está funcionando com carga horária reduzida,1 vez por semana,Habilitada,"Mulheres, Jovens, População LGBTQIA+, Trabalhadores informais diversos (Motoristas de aplicativos, motoboys, serventes ou outros), Pessoas em situação de rua, Pessoas e famílias atingidas por situações de emergência ou calamidade pública, Imigrantes, Outros grupos de pessoas em situação de vulnerabilidade social",23,30,-0.762944,-51.884366
CS017138,COZINHA JARDIM SÃO LUIZ,"RUA SEBASTIAO MUNIZ DE SOUZA, 120",parque santo antonio,05821-150,SÃO PAULO,3550308,SP,amanhaparatodos_@hotmail.com,08.541.314/0001-03,"Sim, está funcionando normalmente",6 vezes por semana,Habilitada,"Mulheres, Jovens, Crianças, Idosos, População LGBTQIA+, Trabalhadores informais diversos (Motoristas de aplicativos, motoboys, serventes ou outros), Pessoas em situação de rua, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Outros grupos de pessoas em situação de vulnerabilidade social",584,587,-2.190973,-60.802145
CS017298,COZINHA NOVO MUNDO,"Rua Santa Maria, 64, 64",Santa Rita,35790-644,CURVELO,3120904,MG,apdsnovomundo@gmail.com,24.038.615/0001-75,"Não, a Cozinha encontra-se paralisada, sem atividade",5 vezes por semana,Habilitada,"Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Outros grupos de pessoas em situação de vulnerabilidade social",200,1,-5.484887,-35.263862
CS016511,COZINHA POPULAR SABORES DO CAMPO,"Rua 414, 270",Loteamento Pontal Norte,75708-350,CATALÃO,5205109,GO,cozinhasolidariapopularsabores@gmail.com,,Está funcionando com carga horária reduzida,Quinzenalmente,Habilitada,"Mulheres, Jovens, Crianças, Idosos, População LGBTQIA+, Trabalhadores informais diversos (Motoristas de aplicativos, motoboys, serventes ou outros), Pessoas em situação de rua, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Outros grupos de pessoas em situação de vulnerabilidade social",60,250,-9.158398,-35.985286
CS017260,COZINHA POPULAR SOLIDÁRIA CASA DA SOPA,"Av. presidente Castelo Branco, S/N, 132",SÃO FRANCISCO,68644-000,SANTA LUZIA DO PARÁ,1506559,PA,amolslp6@gmail.com,08.216.280/0001-81,"Sim, está funcionando normalmente",2 vezes por semana,Habilitada,"Pessoas em situação de rua, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Outros grupos de pessoas em situação de vulnerabilidade social",90,80,-11.467457,-48.922496
CS017256,COZINHA POPULAR SOLIDÁRIA MÃOS DE MULHERES,"Rua João Andrade, 177",Centro,67030-150,ANANINDEUA,1500800,PA,pinheironina13@gmail.com,08.921.160/0001-85,"Sim, está funcionando normalmente",5 vezes por semana,Habilitada,"Mulheres, Jovens, Crianças, Idosos, Pessoas em situação de rua, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Imigrantes, Outros grupos de pessoas em situação de vulnerabilidade social",140,250,-3.536381,-37.826067
CS014633,COZINHA SANTA MARTHA,"Rua Aladino Carneiro, 11",Fronteira,27961-200,MACAÉ,3302403,RJ,caritasdiocesenf@gmail.com,30.553.481/0001-23,Está funcionando com carga horária reduzida,1 vez por semana,Habilitada,"Pessoas em situação de rua, Pessoas e famílias atingidas por situações de emergência ou calamidade pública, Outros grupos de pessoas em situação de vulnerabilidade social",65,40,-21.668165,-55.463941
CS015703,COZINHA SOLIDÁRIA ABPADEC,"Rua Francisco Alves Pereira, 568",Jd Sta Cruz,02674-050,SÃO PAULO,3550308,SP,Presidente.abpadec68@yahoo.com,09.615.570/0001-60,"Sim, está funcionando normalmente",3 vezes por semana,Habilitada,"Pessoas em situação de rua, Pessoas e famílias atingidas por situações de emergência ou calamidade pública, Outros grupos de pessoas em situação de vulnerabilidade social",300,350,-2.247049,-60.991646
CS016172,COZINHA SOLIDÁRIA ALIMENTA BAHIA,"Rua Marcelo T maschesini, 90",Mangabeira,44066-290,FEIRA DE SANTANA,2910800,BA,habitarbahia.fsa@gmail.com,07.771.925/0001-85,Está funcionando com carga horária reduzida,4 vezes por semana,Habilitada,"Mulheres, Jovens, Crianças, Idosos, População LGBTQIA+, Agricultores Familiares e Campesinos, Trabalhadores informais diversos (Motoristas de aplicativos, motoboys, serventes ou outros), Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Povos e comunidades tradicionais (indígenas, quilombolas, ribeirinhos, etc.), Pessoas e famílias atingidas por situações de emergência ou calamidade pública, Grupo específico vinculado a determinada localidade, atividade, serviço ou movimento, Outros grupos de pessoas em situação de vulnerabilidade social",750,3250,-25.970155,-48.519618
CS016993,COZINHA SOLIDARIA ASSOCIAÇÃO DOS MORADORES DE ARACUÍ,"Rodovia Dr. Frued Nemer, km04, 70",Aracuí,29360-000,CASTELO,3201407,ES,ama.aracui@gmail.com,36.401.735/0001-74,"Sim, está funcionando normalmente",5 vezes por semana,Habilitada,"Mulheres, Jovens, Crianças, Idosos, População LGBTQIA+, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Pessoas e famílias atingidas por situações de emergência ou calamidade pública, Outros grupos de pessoas em situação de vulnerabilidade social",1800,380,1.456829,-59.467240
CS015134,COZINHA SOLIDARIA - CASA DA PROVIDENCIA,"RUA 1, 142",LOTEAMENTO PARAISO,45604-652,ITABUNA,2914802,BA,comfilhosdeisrael@gmail.com,13.982.334/0001-50,"Sim, está funcionando normalmente",3 vezes por semana,Habilitada,"Mulheres, Jovens, Crianças, Idosos, Pessoas em situação de rua, Outros grupos de pessoas em situação de vulnerabilidade social",350,300,-8.627521,-62.591604
CS017136,COZINHA SOLIDÁRIA DA AMARQVUC,"Rodovia PA 154 km 10, sn",QUILOMBO VILA UNIÃO CAMPINAS,68860-000,SALVATERRA,1506302,PA,moreirarosimar8@gmail.com,07.162.531/0001-20,Está funcionando com carga horária reduzida,2 vezes por semana,Habilitada,"Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Povos e comunidades tradicionais (indígenas, quilombolas, ribeirinhos, etc.), Outros grupos de pessoas em situação de vulnerabilidade social",220,200,-8.618174,-69.089896
CS017137,COZINHA SOLIDÁRIA DE PLANURA,"RUA MONTE ALEGRE, 310",Vila Paiva,38220-000,PLANURA,3151602,MG,regiabrincksmds@gmail.com,15.635.509/0001-88,"Sim, está funcionando normalmente",5 vezes por semana,Habilitada,"Pessoas em situação de rua, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Pessoas e famílias atingidas por situações de emergência ou calamidade pública, Outros grupos de pessoas em situação de vulnerabilidade social",1007,250,-26.762701,-50.393580
CS016530,COZINHA SOLIDÁRIA DO BEM VIVER,"RUA JADER MORAES, 156",PROMISSÃO 3,68628-510,PARAGOMINAS,1505502,PA,cozinhasolidariadobemviver@gmail.com,34.844.993/0001-08,"Sim, está funcionando normalmente",2 vezes por semana,Habilitada,"Mulheres, Jovens, Crianças, Idosos, Pessoas em situação de rua, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Pessoas e famílias atingidas por situações de emergência ou calamidade pública, Outros grupos de pessoas em situação de vulnerabilidade social",150,100,-11.049277,-47.925043
CS016991,COZINHA SOLIDÁRIA MOVER HELIPA | FAVELA HELIÓPOLIS-SP,"Rua Comandante Taylor, 612",Heliópolis | Sacomã,04218-000,SÃO PAULO,3550308,SP,moverhelipa@gmail.com,10.935.841/0001-44,"Sim, está funcionando normalmente",6 vezes por semana,Habilitada,"Mulheres, Jovens, Crianças, Idosos, População LGBTQIA+, Trabalhadores informais diversos (Motoristas de aplicativos, motoboys, serventes ou outros), Pessoas em situação de rua, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Pessoas e famílias atingidas por situações de emergência ou calamidade pública, Imigrantes, Outros grupos de pessoas em situação de vulnerabilidade social",825,450,-14.450650,-48.858723
